Shiloh-Scott||College Station||Belleville Station||Swansea Station||Memorial Hospital Station||Fairview Heights Station||Washington Park Station||JJK Center Station||Emerson Park Station||5th & Missouri||East Riverfront Station||Laclede's Landing/Arch Station||Convention Center Station||8th & Pine Station||Stadium Station||Civic Center Station||Union Station||Grand Station||Central West End Station||Forest Park Station||Delmar Loop Station||Wellston Station||Rock Road Station||South UMSL Station||North UMSL Station||North Hanley Station||Lambert Airport Terminal 2||Lambert Airport Terminal 1|
37||36||35||34||33||32||31||30||29||28||27||26||25||24||23||22||21||20||19||18||8||7||6||5||4||3||2||1|
|0||0||0||0||0||0||0|4:09|0|4:12|0|4:16|0|4:19|0|4:21|0|4:22|0|4:25|0|4:26|0|4:28|0|4:29|0|4:33|0|4:36|0|4:39|0|4:42|0|4:44|0|4:47|0|4:50|0|4:52|0|4:54|0|5:00|0|5:02|0
|0||0||0||0||0||0||0|4:36|0|4:38|0|4:41|0|4:44|0|4:46|0|4:47|0|4:49|0|4:50|0|4:52|0|4:53|0|4:57|0|5:00|0|5:03|0|5:05|0|5:07|0|5:09|0|5:11|0|5:13|0|5:15|0|5:20|0|5:22|0
|0||0||0||0||0||0||0|4:56|0|4:58|0|5:01|0|5:04|0|5:06|0|5:07|0|5:09|0|5:10|0|5:12|0|5:13|0|5:17|0|5:20|0|5:23|0|5:25|0|5:27|0|5:29|0|5:31|0|5:33|0|5:35|0|5:40|0|5:42|0
|0||0||0||0||0||0||0|5:16|0|5:18|0|5:21|0|5:24|0|5:26|0|5:27|0|5:29|0|5:30|0|5:32|0|5:33|0|5:37|0|5:40|0|5:43|0|5:45|0|5:47|0|5:49|0|5:51|0|5:53|0|5:55|0|6:00|0|6:02|0
5:02|0|5:07|0|5:12|0|5:14|0|5:18|0|5:22|0|5:27|0|5:30|0|5:32|0|5:35|0|5:38|0|5:40|0|5:41|0|5:43|0|5:44|0|5:46|0|5:47|0|5:51|0|5:54|0|5:57|0|5:59|0|6:01|0|6:03|0|6:05|0|6:07|0|6:09|0|6:14|0|6:16|0
5:22|0|5:27|0|5:32|0|5:34|0|5:38|0|5:42|0|5:47|0|5:50|0|5:52|0|5:55|0|5:58|0|6:00|0|6:01|0|6:03|0|6:04|0|6:06|0|6:07|0|6:11|0|6:14|0|6:17|0|6:19|0|6:21|0|6:23|0|6:25|0|6:27|0|6:29|0|6:34|0|6:36|0
5:42|0|5:47|0|5:52|0|5:54|0|5:58|0|6:02|0|6:07|0|6:10|0|6:12|0|6:15|0|6:18|0|6:20|0|6:21|0|6:23|0|6:24|0|6:26|0|6:27|0|6:31|0|6:34|0|6:37|0|6:39|0|6:41|0|6:43|0|6:45|0|6:47|0|6:49|0|6:54|0|6:56|0
6:02|0|6:07|0|6:12|0|6:14|0|6:18|0|6:22|0|6:27|0|6:30|0|6:32|0|6:35|0|6:38|0|6:40|0|6:41|0|6:43|0|6:44|0|6:46|0|6:47|0|6:51|0|6:54|0|6:57|0|6:59|0|7:01|0|7:03|0|7:05|0|7:07|0|7:09|0|7:14|0|7:16|0
6:22|0|6:27|0|6:32|0|6:34|0|6:38|0|6:42|0|6:47|0|6:50|0|6:52|0|6:55|0|6:58|0|7:00|0|7:01|0|7:03|0|7:04|0|7:06|0|7:07|0|7:11|0|7:14|0|7:17|0|7:19|0|7:21|0|7:23|0|7:25|0|7:27|0|7:29|0|7:34|0|7:36|0
6:42|0|6:47|0|6:52|0|6:54|0|6:58|0|7:02|0|7:07|0|7:10|0|7:12|0|7:15|0|7:18|0|7:20|0|7:21|0|7:23|0|7:24|0|7:26|0|7:27|0|7:31|0|7:34|0|7:37|0|7:39|0|7:41|0|7:43|0|7:45|0|7:47|0|7:49|0|7:54|0|7:56|0
7:02|0|7:07|0|7:12|0|7:14|0|7:18|0|7:22|0|7:27|0|7:30|0|7:32|0|7:35|0|7:38|0|7:40|0|7:41|0|7:43|0|7:44|0|7:46|0|7:47|0|7:51|0|7:54|0|7:57|0|7:59|0|8:01|0|8:03|0|8:05|0|8:07|0|8:09|0|8:14|0|8:16|0
7:22|0|7:27|0|7:32|0|7:34|0|7:38|0|7:42|0|7:47|0|7:50|0|7:52|0|7:55|0|7:58|0|8:00|0|8:01|0|8:03|0|8:04|0|8:06|0|8:07|0|8:11|0|8:14|0|8:17|0|8:19|0|8:21|0|8:23|0|8:25|0|8:27|0|8:29|0|8:34|0|8:36|0
7:42|0|7:47|0|7:52|0|7:54|0|7:58|0|8:02|0|8:07|0|8:10|0|8:12|0|8:15|0|8:18|0|8:20|0|8:21|0|8:23|0|8:24|0|8:26|0|8:27|0|8:31|0|8:34|0|8:37|0|8:39|0|8:41|0|8:43|0|8:45|0|8:47|0|8:49|0|8:54|0|8:56|0
8:02|0|8:07|0|8:12|0|8:14|0|8:18|0|8:22|0|8:27|0|8:30|0|8:32|0|8:35|0|8:38|0|8:40|0|8:41|0|8:43|0|8:44|0|8:46|0|8:47|0|8:51|0|8:54|0|8:57|0|8:59|0|9:01|0|9:03|0|9:05|0|9:07|0|9:09|0|9:14|0|9:16|0
8:22|0|8:27|0|8:32|0|8:34|0|8:38|0|8:42|0|8:47|0|8:50|0|8:52|0|8:55|0|8:58|0|9:00|0|9:01|0|9:03|0|9:04|0|9:06|0|9:07|0|9:11|0|9:14|0|9:17|0|9:19|0|9:21|0|9:23|0|9:25|0|9:27|0|9:29|0|9:34|0|9:36|0
8:42|0|8:47|0|8:52|0|8:54|0|8:58|0|9:02|0|9:07|0|9:10|0|9:12|0|9:15|0|9:18|0|9:20|0|9:21|0|9:23|0|9:24|0|9:26|0|9:27|0|9:31|0|9:34|0|9:37|0|9:39|0|9:41|0|9:43|0|9:45|0|9:47|0|9:49|0|9:54|0|9:56|0
9:02|0|9:07|0|9:12|0|9:14|0|9:18|0|9:22|0|9:27|0|9:30|0|9:32|0|9:35|0|9:38|0|9:40|0|9:41|0|9:43|0|9:44|0|9:46|0|9:47|0|9:51|0|9:54|0|9:57|0|9:59|0|10:01|0|10:03|0|10:05|0|10:07|0|10:09|0|10:14|0|10:16|0
9:22|0|9:27|0|9:32|0|9:34|0|9:38|0|9:42|0|9:47|0|9:50|0|9:52|0|9:55|0|9:58|0|10:00|0|10:01|0|10:03|0|10:04|0|10:06|0|10:07|0|10:11|0|10:14|0|10:17|0|10:19|0|10:21|0|10:23|0|10:25|0|10:27|0|10:29|0|10:34|0|10:36|0
9:42|0|9:47|0|9:52|0|9:54|0|9:58|0|10:02|0|10:07|0|10:10|0|10:12|0|10:15|0|10:18|0|10:20|0|10:21|0|10:23|0|10:24|0|10:26|0|10:27|0|10:31|0|10:34|0|10:37|0|10:39|0|10:41|0|10:43|0|10:45|0|10:47|0|10:49|0|10:54|0|10:56|0
10:02|0|10:07|0|10:12|0|10:14|0|10:18|0|10:22|0|10:27|0|10:30|0|10:32|0|10:35|0|10:38|0|10:40|0|10:41|0|10:43|0|10:44|0|10:46|0|10:47|0|10:51|0|10:54|0|10:57|0|10:59|0|11:01|0|11:03|0|11:05|0|11:07|0|11:09|0|11:14|0|11:16|0
10:22|0|10:27|0|10:32|0|10:34|0|10:38|0|10:42|0|10:47|0|10:50|0|10:52|0|10:55|0|10:58|0|11:00|0|11:01|0|11:03|0|11:04|0|11:06|0|11:07|0|11:11|0|11:14|0|11:17|0|11:19|0|11:21|0|11:23|0|11:25|0|11:27|0|11:29|0|11:34|0|11:36|0
10:42|0|10:47|0|10:52|0|10:54|0|10:58|0|11:02|0|11:07|0|11:10|0|11:12|0|11:15|0|11:18|0|11:20|0|11:21|0|11:23|0|11:24|0|11:26|0|11:27|0|11:31|0|11:34|0|11:37|0|11:39|0|11:41|0|11:43|0|11:45|0|11:47|0|11:49|0|11:54|0|11:56|0
11:02|0|11:07|0|11:12|0|11:14|0|11:18|0|11:22|0|11:27|0|11:30|0|11:32|0|11:35|0|11:38|0|11:40|0|11:41|0|11:43|0|11:44|0|11:46|0|11:47|0|11:51|0|11:54|0|11:57|0|11:59|0|12:01|0|12:03|0|12:05|0|12:07|0|12:09|0|12:14|0|12:16|0
11:22|0|11:27|0|11:32|0|11:34|0|11:38|0|11:42|0|11:47|0|11:50|0|11:52|0|11:55|0|11:58|0|12:00|0|12:01|0|12:03|0|12:04|0|12:06|0|12:07|0|12:11|0|12:14|0|12:17|0|12:19|0|12:21|0|12:23|0|12:25|0|12:27|0|12:29|0|12:34|0|12:36|0
11:42|0|11:47|0|11:52|0|11:54|0|11:58|0|12:02|0|12:07|0|12:10|0|12:12|0|12:15|0|12:18|0|12:20|0|12:21|0|12:23|0|12:24|0|12:26|0|12:27|0|12:31|0|12:34|0|12:37|0|12:39|0|12:41|0|12:43|0|12:45|0|12:47|0|12:49|0|12:54|0|12:56|0
12:02|0|12:07|0|12:12|0|12:14|0|12:18|0|12:22|0|12:27|0|12:30|0|12:32|0|12:35|0|12:38|0|12:40|0|12:41|0|12:43|0|12:44|0|12:46|0|12:47|0|12:51|0|12:54|0|12:57|0|12:59|0|13:01|0|13:03|0|13:05|0|13:07|0|13:09|0|13:14|0|13:16|0
12:22|0|12:27|0|12:32|0|12:34|0|12:38|0|12:42|0|12:47|0|12:50|0|12:52|0|12:55|0|12:58|0|13:00|0|13:01|0|13:03|0|13:04|0|13:06|0|13:07|0|13:11|0|13:14|0|13:17|0|13:19|0|13:21|0|13:23|0|13:25|0|13:27|0|13:29|0|13:34|0|13:36|0
12:42|0|12:47|0|12:52|0|12:54|0|12:58|0|13:02|0|13:07|0|13:10|0|13:12|0|13:15|0|13:18|0|13:20|0|13:21|0|13:23|0|13:24|0|13:26|0|13:27|0|13:31|0|13:34|0|13:37|0|13:39|0|13:41|0|13:43|0|13:45|0|13:47|0|13:49|0|13:54|0|13:56|0
